efforts de conservation qui existe dans la localité?;Sensibilisation;Surveillance;Reboisement;Restauration;Sacralisation;Formation des ecogrades;Creation des aires communautaire de conservation de la biodiversité;Existences de cooperatives de femmes pour la conservation des mangroves;
Analphabète;5;3;4;4;2;2;3;4;
Primaire;10;6;7;7;4;5;9;5;
Secondaire;2;0;1;1;0;1;1;0;
Supérieur;1;1;1;0;1;1;0;1;
;;;;;;;;;
;;;;;;;;;
 Opérations plantation des palétuviers_Femme;Transfert des plantules/propagules dans la zone à planter ;Trouaison avant plantation ;Plantation des palétuviers ;;;;;;
Analphabète;5;0;5;;;;;;
Primaire;11;2;10;;;;;;
Secondaire;2;0;2;;;;;;
Supérieur;0;0;0;;;;;;
;;;;;;;;;
;;;;;;;;;
Gestion, protection et entretien de la mangrove_Femme;Participation aux réunions ;Planification ;Prise de décision ;Coordination avec d’autres organisations/organismes ;Vente propagules ;Suivi ;Nettoyage de la mangrove ;Comptabilité des recettes et des dépenses ;Garde des fonds 
Analphabète;4;3;3;2;2;0;2;3;5
Primaire;9;6;10;4;7;1;5;6;5
Secondaire;1;1;1;0;2;0;1;1;2
Supérieur;1;1;0;1;1;1;0;1;1
