Gestion, protection et entretien de la mangrove_Femme;;Analphabète;Primaire;Secondaire;Supérieur
Participation aux réunions ;;4;9;1;1
Planification ;;3;6;1;1
Prise de décision ;;3;10;1;0
Coordination avec d’autres organisations/organismes ;;2;4;0;1
Vente propagules ;;2;7;2;1
Suivi ;;0;1;0;1
Nettoyage de la mangrove ;;2;5;1;0
Comptabilité des recettes et des dépenses ;;3;6;1;1
Garde des fonds ;;5;5;2;1
;;;;;
;;;;;
Gestion, protection et entretien de la mangrove_Femme;;Effectif_femme;;;
Participation aux réunions ;;15;;;
Planification ;;11;;;
Prise de décision ;;14;;;
Coordination avec d’autres organisations/organismes ;;7;;;
Vente propagules ;;12;;;
Suivi ;;2;;;
Nettoyage de la mangrove ;;8;;;
Comptabilité des recettes et des dépenses ;;11;;;
Garde des fonds ;;13;;;
